iter	Passed	Remaining
441	1202	1518
442	1204	1514
443	1207	1511
444	1208	1507
445	1210	1503
446	1212	1500
447	1214	1496
448	1216	1493
449	1218	1489
450	1220	1485
451	1222	1482
452	1224	1478
453	1227	1475
454	1228	1472
455	1231	1468
456	1233	1465
457	1235	1461
458	1237	1458
459	1238	1454
460	1240	1450
461	1242	1446
462	1244	1443
463	1246	1439
464	1248	1435
465	1249	1432
466	1251	1428
467	1253	1424
468	1254	1420
469	1257	1417
470	1258	1413
471	1260	1410
472	1262	1406
473	1264	1403
474	1266	1399
475	1268	1396
476	1270	1392
477	1271	1388
478	1273	1385
479	1275	1381
480	1277	1378
481	1279	1374
482	1281	1371
483	1282	1367
484	1284	1364
485	1287	1361
486	1288	1357
487	1290	1353
488	1292	1350
489	1294	1347
490	1296	1343
491	1298	1340
492	1299	1336
493	1301	1333
494	1303	1330
495	1305	1326
496	1308	1324
497	1311	1321
498	1313	1318
499	1314	1314
500	1316	1311
501	1318	1308
502	1320	1304
503	1322	1301
504	1324	1298
505	1331	1300
506	1333	1297
507	1336	1294
508	1338	1290
509	1339	1287
510	1341	1283
511	1343	1280
512	1345	1277
513	1347	1274
514	1349	1270
515	1351	1267
516	1353	1264
517	1355	1261
518	1357	1258
519	1359	1254
520	1362	1252
521	1363	1249
522	1365	1245
523	1367	1242
524	1369	1238
525	1371	1235
526	1373	1232
527	1375	1229
528	1376	1225
529	1378	1222
530	1380	1219
531	1382	1215
532	1383	1212
533	1385	1209
534	1387	1206
535	1389	1203
536	1391	1200
537	1394	1197
538	1396	1194
539	1398	1191
540	1400	1187
541	1402	1185
542	1404	1182
543	1406	1179
544	1408	1175
545	1410	1172
546	1412	1169
547	1414	1166
548	1416	1163
549	1418	1160
550	1419	1156
551	1422	1154
552	1424	1151
553	1426	1148
554	1428	1145
555	1430	1142
556	1432	1139
557	1434	1136
558	1436	1133
559	1437	1129
560	1440	1127
561	1442	1124
562	1443	1120
563	1445	1117
564	1447	1114
565	1449	1111
566	1451	1108
567	1453	1105
568	1455	1102
569	1457	1099
570	1459	1096
571	1461	1093
572	1462	1090
573	1464	1086
574	1466	1083
575	1468	1080
576	1470	1077
577	1471	1074
578	1473	1071
579	1475	1068
580	1477	1065
581	1479	1062
582	1481	1059
583	1483	1056
584	1485	1054
585	1487	1050
586	1489	1048
587	1491	1045
588	1493	1042
589	1495	1039
590	1498	1036
591	1499	1033
592	1501	1030
593	1503	1027
594	1505	1024
595	1508	1022
596	1510	1019
597	1512	1017
598	1515	1014
599	1517	1011
600	1519	1009
601	1522	1006
602	1524	1003
603	1526	1000
604	1528	998
605	1530	995
606	1532	992
607	1535	989
608	1537	986
609	1539	984
610	1541	981
611	1543	978
612	1545	975
613	1547	973
614	1549	969
615	1551	967
616	1554	964
617	1556	961
618	1558	959
619	1560	956
620	1562	953
621	1564	950
622	1566	948
623	1568	945
624	1570	942
625	1573	939
626	1575	937
627	1577	934
628	1579	931
629	1581	928
630	1583	926
631	1585	923
632	1587	920
633	1589	917
634	1591	914
635	1594	912
636	1596	909
637	1598	907
638	1601	904
639	1603	902
640	1606	899
641	1608	896
642	1610	894
643	1612	891
644	1614	888
645	1616	885
646	1618	882
647	1620	880
648	1622	877
649	1624	874
650	1626	872
651	1628	869
652	1630	866
653	1633	864
654	1634	861
655	1637	858
656	1639	855
657	1641	852
658	1642	850
659	1645	847
660	1647	844
661	1649	842
662	1651	839
663	1653	836
664	1656	834
665	1658	831
666	1660	828
667	1662	826
668	1664	823
669	1666	820
670	1668	817
671	1670	815
672	1672	812
673	1674	810
674	1676	807
675	1678	804
676	1681	802
677	1683	799
678	1685	796
679	1687	794
680	1690	791
681	1692	789
682	1695	786
683	1696	783
684	1698	781
685	1701	778
686	1703	775
687	1704	773
688	1706	770
689	1708	767
690	1710	764
691	1712	762
692	1714	759
693	1716	756
694	1718	754
695	1720	751
696	1722	748
697	1723	745
698	1726	743
699	1727	740
700	1729	737
701	1731	734
702	1732	732
703	1734	729
704	1736	726
705	1738	723
706	1740	721
707	1742	718
708	1745	716
709	1747	713
710	1749	710
711	1750	708
712	1752	705
713	1753	702
714	1755	699
715	1757	697
716	1759	694
717	1761	691
718	1763	689
719	1764	686
720	1766	683
721	1768	680
722	1770	678
723	1772	675
724	1774	673
725	1776	670
726	1778	667
727	1780	665
728	1782	662
729	1783	659
730	1786	657
731	1788	654
732	1789	651
733	1791	649
734	1793	646
735	1795	643
736	1796	641
737	1798	638
738	1800	636
739	1802	633
740	1804	630
741	1806	628
742	1808	625
743	1810	622
744	1812	620
745	1814	617
746	1815	615
747	1818	612
748	1819	609
749	1821	607
750	1823	604
751	1826	602
752	1827	599
753	1829	596
754	1831	594
755	1833	591
756	1835	589
757	1837	586
758	1838	583
759	1840	581
760	1843	578
761	1844	576
762	1846	573
763	1848	570
764	1850	568
765	1851	565
766	1854	563
767	1855	560
768	1857	557
769	1859	555
770	1861	552
771	1863	550
772	1864	547
773	1866	545
774	1868	542
775	1870	539
776	1872	537
777	1874	534
778	1876	532
779	1877	529
780	1879	527
781	1882	524
782	1883	521
783	1885	519
784	1887	517
785	1889	514
786	1891	511
787	1893	509
788	1895	507
789	1897	504
790	1899	502
791	1901	499
792	1903	496
793	1905	494
794	1907	491
795	1908	489
796	1910	486
797	1912	484
798	1914	481
799	1916	479
800	1918	476
801	1919	473
802	1921	471
803	1924	469
804	1926	466
805	1928	464
806	1930	461
807	1931	459
808	1933	456
809	1935	453
810	1937	451
811	1938	448
812	1941	446
813	1942	443
814	1944	441
815	1946	438
816	1949	436
817	1950	434
818	1952	431
